# generated by tools/gen-entropy-model.py -- do not edit
# exact entropy of the word part, under no-repeat drawing and pooled mix.
# digits are uniform and independent and are added by the app.
# pool sizes: adjective=2675, noun=2782, verb=2893
# language	type	words	hmin	h2
en	mixed	1	8.228818690	8.228818690
no	mixed	1	8.189824559	8.189824559
pt	mixed	1	8.199672345	8.199672345
es	mixed	1	8.199672345	8.199672345
de	mixed	1	8.209453366	8.209453366
fr	mixed	1	8.214319121	8.214319121
it	mixed	1	8.199672345	8.199672345
nl	mixed	1	8.204571144	8.204571144
pl	mixed	1	8.204571144	8.204571144
ro	mixed	1	8.189824559	8.189824559
la	mixed	1	8.098032083	8.098032083
mix	mixed	1	11.441906705	11.441906705
random	mixed	1	8.493986135	11.127823396
en	mixed	2	16.457525167	16.457525167
no	mixed	2	16.282563602	16.282563602
pt	mixed	2	16.302960153	16.302960153
es	mixed	2	16.328955362	16.328955362
de	mixed	2	16.302192653	16.302192653
fr	mixed	2	16.333190299	16.333190299
it	mixed	2	16.302942309	16.302942309
nl	mixed	2	16.318295655	16.318295655
pl	mixed	2	16.318313310	16.318313310
ro	mixed	2	16.167104482	16.167104482
la	mixed	2	16.125917906	16.125917906
mix	mixed	2	22.827224646	22.827224646
random	mixed	2	17.182099501	19.690230357
en	mixed	3	24.685991128	24.685991128
no	mixed	3	24.447315582	24.447315582
pt	mixed	3	24.442511506	24.442511506
es	mixed	3	24.468506714	24.468506714
de	mixed	3	24.421081127	24.421081127
fr	mixed	3	24.477831376	24.477831376
it	mixed	3	24.427063621	24.427063621
nl	mixed	3	24.452687167	24.452687167
pl	mixed	3	24.457864663	24.457864663
ro	mixed	3	24.275593136	24.275593136
la	mixed	3	24.164836895	24.164836895
mix	mixed	3	34.325565152	34.325565152
random	mixed	3	26.337341440	27.866084309
en	mixed	4	32.909575877	32.909575877
no	mixed	4	32.632017864	32.632017864
pt	mixed	4	32.637268360	32.637268360
es	mixed	4	32.663263569	32.663263569
de	mixed	4	32.625581818	32.625581818
fr	mixed	4	32.687197678	32.687197678
it	mixed	4	32.621802631	32.621802631
nl	mixed	4	32.652307046	32.652307046
pl	mixed	4	32.657537008	32.657537008
ro	mixed	4	32.460432675	32.460432675
la	mixed	4	32.257573862	32.257573862
mix	mixed	4	45.766939522	45.766939522
random	mixed	4	34.536901543	36.065199628
en	mixed	5	41.128327399	41.128327399
no	mixed	5	40.811753876	40.811753876
